Project,Original Version,Original Commit,Backport Version,Backport Commit,Backport Date,Type
druid,master,4e1de50e30ab16c6c86795c8a8ab284d8e0cd0ff,30.0.0,8c6a5716186f4f89bbc6e2a0be2ae6e0de171dc5,2024-05-27 08:30:17+00:00,TYPE-IV
druid,master,423c91f9e4d8874d194fbff63caea6f323da4510,30.0.0,fb86ada253d079213b7e4bc337d30b166ace5939,2024-06-06 15:36:02+00:00,TYPE-V
druid,master,bb487a419389aa68db34d37c05c86953c2599be5,31.0.0,2f13cd2500d1f35e131443634d6ef26281d1e714,2024-09-19 14:01:17+00:00,TYPE-II
druid,master,67d361c9bfc2b1bf37d5522fa9d9af1e445a03df,31.0.0,b7cc0bb34345d4dba86f9a2318d8767f1e9dfeb2,2024-09-24 08:28:11+00:00,TYPE-V
druid,master,c1f8ae25b5019edaa1a2fae2b1bcaab0ec8c3638,31.0.0,0ae9988796de026793008ca9368a4c22d75747f2,2024-09-24 19:09:27+00:00,TYPE-II
druid,master,96703056692813651cf5aa47286443d603f507bd,31.0.0,8059b86c7fcc9503330300b19cbdd4bc41e25660,2024-09-25 09:29:53+00:00,TYPE-II
druid,master,40414cfe780b5b45375f98b26b5b61b9ca58d05f,31.0.0,627752922c9dc952512194cd049321e21619619f,2024-09-25 09:30:02+00:00,TYPE-II
druid,master,446ffc325cf28ed9fb1321e9583b5174434d63c4,31.0.0,986bc62b8898595e8fc8169a7c0c4e52f9a52cab,2024-09-25 11:01:37+00:00,TYPE-II
druid,master,661614129ea2f85156701c6a419ce79c2b6d04bf,31.0.0,a16b75a42c5a43dd50b6814650dae537c45cd903,2024-09-30 05:05:14+00:00,TYPE-V
druid,master,464b153850bd3e370687604c939bccf57d0c2b4c,31.0.0,e364d84e12b830d96460d1e9faa81ea9329de38b,2024-09-30 05:56:17+00:00,TYPE-II
druid,master,15987f51f109002078d1edc529dfb7817f626c4c,31.0.0,8531a84d6cf5a7ad270086322a5e38432139f5c2,2024-09-30 18:50:04+00:00,TYPE-II
druid,master,5ef94c9deebea6cc52dcc504b83f451c73d5c036,31.0.0,ef7c461722fa89875c7657ed4c835470a20caf06,2024-10-01 05:39:52+00:00,TYPE-II
druid,master,fd6706cd6ad553509659df45d38901ec1b76533d,31.0.0,23b9039a02756c069b2274f10e050e0c8ad2c58c,2024-10-01 14:20:24+00:00,TYPE-II
druid,master,3d45f9829c7b80e3b5289aaf5710b3932639349e,31.0.0,4a8008aebb7b3f324325feabd1b5a11a07e76022,2024-10-02 02:14:33+00:00,TYPE-II
druid,master,2f50138af9671ecc8e25100029faca6f9b0fabaf,31.0.0,491087fbe305ee9e057ca6b8eef09e7f33bd986c,2024-10-02 09:04:27+00:00,TYPE-II
druid,master,e5d027ee1cb819092acf500a47a0623225486606,31.0.0,13a52de07f3e307b87f67686ae1c723f60b31f95,2024-10-03 01:06:55+00:00,TYPE-II
druid,master,edc235cfe1b4049aedcbc9e1f2ea3e032603c6d9,31.0.0,feae7f7649f9cd5ddeceba01acbd584fedfdcc77,2024-10-03 14:23:43+00:00,TYPE-V
druid,master,99e8f664a9cc0a73ae97ea4409743b9bb479f0ec,31.0.0,b275ffed8d6138b4312b7fe2dc42980db5218f6a,2024-10-04 06:06:05+00:00,TYPE-V
druid,master,d77637344d039fa51da6750687e5db94dd5c7a57,31.0.0,50eb7321d2c0875831c974b0f46baa024cafab40,2024-10-04 08:51:28+00:00,TYPE-V
druid,master,2e531bb72406ea8112bee496c082559c2575374f,31.0.0,c1622be52727883af14ff4900e7db43b7a5937b5,2024-10-04 11:43:55+00:00,TYPE-V
druid,master,c56e23ec37642c879d0e2e671e3b08dfbb0675c4,31.0.0,5fbdc387c32186f25bc16c0543426bb9eb947502,2024-10-04 13:15:46+00:00,TYPE-V
druid,master,d84d53c017a0308221aaf07fe9f3ac5b64ba4a28,31.0.0,10528a6d9e507729d0687345be732c5145e2c6ae,2024-10-05 03:52:57+00:00,TYPE-V
druid,master,50503fe0ef0bb422e957ad0507b826dc80cd8b9f,31.0.0,f27a1dc651d0ee607337ac6f0483643b32ace66a,2024-10-05 11:59:34+00:00,TYPE-V
druid,master,d1709a329f70b43734283b41455505e15fe94a61,31.0.0,1435b9f4bdcfee19e7b4268ae33ec53462da8e17,2024-10-05 14:02:21+00:00,TYPE-II
druid,master,7e35e50052ee1b4f4d65222e0d5c4883e9fa26da,31.0.0,f7010253dab259498581b62395a17d3f1bb2ee68,2024-10-07 03:12:34+00:00,TYPE-V
druid,master,ff97c67945ed8bbf453b4c90ee9d4cac52be61cb,31.0.0,e95e95a7a123fa2905a57afe2fadf28c37f45362,2024-10-08 02:33:51+00:00,TYPE-II
druid,master,f42ecc9f25675d7ac1c5c759749ba9e074f4f40e,31.0.0,f43964a8082d0b844b4ba55813df3d38e85613c9,2024-10-08 04:33:57+00:00,TYPE-V
druid,master,0a279e634a0cdd0fdc29ce3774fedaf7678ed025,31.0.0,ccb7c2edd959a26d7f96528a2779b80051815ac1,2024-10-08 14:16:40+00:00,TYPE-V
druid,master,88d26e4541e31dd3107f120d24f9e7c21db160a4,31.0.0,4ed6cde70ab770415491f8c067a8184389b6d581,2024-10-09 12:34:46+00:00,TYPE-II
druid,master,d7be12067f2e3cb92d5163781a7d98405f4f82e1,31.0.0,9b90d9c3ae71428658f9250984a6e5217f99a81b,2024-10-09 12:35:12+00:00,TYPE-II
